brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,turbo,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,price,avg_mpg,car_age,reliability_rating
BMW,X3 sDrive30i,2023,3526,2.0L I4 16V GDI DOHC Turbo,2,Automatic,1,Gasoline,Rear-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,48237,24.42130239915634,2,82
Volkswagen,CC 3.6L VR6 Lux,2013,55555,3.6L V6 24V GDI DOHC,3.6,6-Speed Automatic,1,Gasoline,Front-wheel Drive,18,24,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,12990,21,12,80
Ford,Explorer Platinum,2017,100518,3.5L V6 24V GDI DOHC Twin Turbo,3.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,16,22,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,23859,19,8,77
Nissan,NV Cargo 2500 S,2012,92925,"Endurance 5.6L V-8 DOHC, variable valve control, engine with 317",5.6,Automatic,1,Gasoline,Rear-wheel Drive,20,28,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,20994,24,13,
Audi,Q3 40 Premium,2021,47103,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,30,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,26995,26,4,76
Mitsubishi,Lancer Evolution MR,2015,30501,2.0L I4 16V MPFI DOHC Turbo,2,6-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,24,29,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,34995,26.5,10,
Ford,Explorer XLT,2014,130426,3.5L V6 24V MPFI DOHC,3.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,17,24,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10990,20.5,11,77
Mazda,CX-9 Grand Touring,2018,84022,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,20,26,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,26950,23,7,77
Toyota,Tacoma SR,2020,72770,2.7L I4 16V MPFI DOHC,2.7,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,20,23,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,29633,21.5,5,
Nissan,Z Performance,2023,4880,3.0L V6 24V GDI DOHC Twin Turbo,3,6-Speed,0,Gasoline,Rear-wheel Drive,28,39,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,59988,33.5,2,
